"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","LV","Latvia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","MT","Malta",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","NL","Netherlands",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","NO","Norway",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","PL","Poland",23.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","RO","Romania",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","SE","Sweden",14.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","SI","Slovenia",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","SK","Slovakia",6.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2013","UK","United Kingdom",117.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","AT","Austria",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","BE","Belgium",46.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","BG","Bulgaria",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","CY","Cyprus",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","CZ","Czechia",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","DK","Denmark",13.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","EE","Estonia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","EL","Greece",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","ES","Spain",68.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","EUEEA30_21","EU/EEA (without UK)",329.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","EUEEAUK_21","EU/EEA (with UK until 2019)",441.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","FI","Finland",6.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","FR","France",88.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","HR","Croatia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","HU","Hungary",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","IE","Ireland",11.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","IS","Iceland",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","IT","Italy",17.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","LT","Lithuania",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","LU","Luxembourg",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","LV","Latvia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","MT","Malta",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","NL","Netherlands",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","NO","Norway",6.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","PL","Poland",20.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","RO","Romania",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","SE","Sweden",14.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","SI","Slovenia",10.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","SK","Slovakia",4.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2014","UK","United Kingdom",112.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","AT","Austria",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","BE","Belgium",59.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","BG","Bulgaria",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","CY","Cyprus",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","CZ","Czechia",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","DK","Denmark",5.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","EE","Estonia",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","EL","Greece",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","ES","Spain",61.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","EUEEA30_21","EU/EEA (without UK)",376.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","EUEEAUK_21","EU/EEA (with UK until 2019)",503.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","FI","Finland",6.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","FR","France",108.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","HR","Croatia",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","HU","Hungary",2.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","IE","Ireland",10.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","IS","Iceland",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","IT","Italy",26.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","LT","Lithuania",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","LU","Luxembourg",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","LV","Latvia",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","MT","Malta",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","NL","Netherlands",10.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","NO","Norway",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","PL","Poland",31.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","PT","Portugal",8.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","RO","Romania",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","SE","Sweden",9.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","SI","Slovenia",7.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","SK","Slovakia",3.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2015","UK","United Kingdom",127.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","AT","Austria",11.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","BE","Belgium",59.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","BG","Bulgaria",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","CY","Cyprus",0.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","CZ","Czechia",1.000000000,""
"Invasive pneumococcal disease","Confirmed cases, age below 1","Reported cases","N","2016","DK","Denmark",11.000000000,""
